title,url,date,summary,section
Εκθεση Πανεπιστημίου Γάνδης για Τέμπη: «Τα έλαια σιλικόνης καίγονται»,https://www.protagon.gr/epikairotita/ekthesi-panepistimiou-gandis-gia-tebi-ta-elaia-silikonis-kaigontai-44343129866,2025-04-16,O ιστότοπος Ellinika Hoaxes δημοσίευσε την έκθεση την οποία έστειλε ο δρ. Γεώργιος Μαραγκός - «Δεν συμμετείχαμε στη συγγραφή του πορίσματος...,
Τέμπη: Προσομοιώσεις για την πυρόσφαιρα αναμένεται να ζητήσει ο εφέτης ανακριτής,https://www.protagon.gr/epikairotita/tebi-prosomoiwseis-gia-tin-pyrosfaira-anamenetai-na-zitisei-o-efetis-anakritis-44343127182,2025-04-11,Τα τυπικά τους προσόντα καταθέτουν ακόμα δύο τεχνικοί σύμβουλοι μετά από παραγγελία που εξέδωσε ο εφέτης ανακριτής...,
Πρόεδρος Αρείου Πάγου: Κάποιοι εκμεταλλεύονται το θυμικό των πολιτών για τα Τέμπη,https://www.protagon.gr/epikairotita/proedros-areiou-pagou-kapoioi-ekmetallevontai-to-thymiko-twn-politwn-gia-ta-tebi-44343126011,2025-04-09,"Η Ιωάννα Κλάπα εξέφρασε την άποψη πως οι δικαστικοί λειτουργοί «δεν ελέγχονται, δεν χειραγωγούνται όση πίεση και...",
«Ποιοι είστε;»: Ο ανακριτής Μπακαΐμης ζητεί τα επαγγελματικά στοιχεία των τεχνικών συμβούλων στα Τέμπη,https://www.protagon.gr/epikairotita/poioi-eiste-o-anakritis-baka%ce%90mis-zitei-ta-epaggelmatika-stoixeia-twn-texnikwn-symvoulwn-sta-tebi-44343125336,2025-04-09,Το σχετικό αίτημα κατατέθηκε από την οικογένεια Μασσαλή –συγγενείς του μηχανοδηγού της εμπορικής αμαξοστοιχίας. Στις αρχές Απριλίου...,
Τέμπη: Ταυτοποιήθηκαν τρεις για τις επιθέσεις σε γραφεία βουλευτών της ΝΔ στη Θεσσαλονίκη,https://www.protagon.gr/epikairotita/tebi-taftopoiithikan-treis-gia-tis-epitheseis-se-grafeia-vouleftwn-tis-nd-sti-thessaloniki-44343125200,2025-04-09,"Σύμφωνα με την ΕΛ.ΑΣ πρόκειται για δύο γυναίκες, 53 και 26 ετών, και έναν άνδρα, 38 ετών,...",
Τέμπη: Πώς καταρρέουν τα σενάρια συνωμοσίας,https://www.protagon.gr/themata/tebi-pws-katarreoun-ta-senaria-synwmosias-44343123916,2025-04-07,"Από το φθινόπωρο του 2024 μέχρι την άνοιξη του 2025, μια ολόκληρη κοινωνία που ζητούσε αλήθεια για το φρικτό δυστύχημα μπλέχτηκε...",
ΕΟΔΑΣΑΑΜ: Αμεση διόρθωση του πορίσματος για Τέμπη με απαλοιφή του κεφαλαίου για την πυρόσφαιρα,https://www.protagon.gr/epikairotita/eodasaam-amesi-diorthwsi-tou-porismatos-gia-tebi-me-apaloifi-tou-kefalaiou-gia-tin-pyrosfaira-44343124127,2025-04-07,Στο φως της δημοσιότητας τα εσωτερικά email του ΕΟΔΑΣΑΑΜ για το θεμα της πυρόσφαιρας. Πώς υιοθετήθηκε το...,
«Οργανωμένο σχέδιο συγκάλυψης της αλήθειας» στα Τέμπη – Πρέπει να παραιτηθεί ο Παπαδημητρίου του ΕΟΔΑΣΑΑΜ;,https://www.protagon.gr/epikairotita/organwmeno-sxedio-sygkalypsis-tis-alitheias-sta-tebi-prepei-na-paraitithei-o-papadimitriou-tou-eodasaam-44343124106,2025-04-07,Επίθεση του κυβερνητικού εκπροσώπου στη αντιπολίτευση υπό το φως των τελευταίων εξελίξεων σε σχέση με το πόρισμα...,
Σκέρτσος για Τέμπη: Η αντιπολίτευση δεν έμαθε τίποτε από τα λάθη της με τη Νοvartis,https://www.protagon.gr/epikairotita/akis-skertsos-gia-tebi-i-antipolitefsi-den-emathe-tipote-apo-ta-lathi-tis-me-ti-novartis-44343123714,2025-04-06,"Σε μια μακροσκελή ανάρτησή του στα μέσα κοινωνικής δικτύωσης, ο υπουργός Επικρατείας συσχετίζει την υπόθεση Novartis με...",
Πρόεδροι δικηγορικών συλλόγων για τα Τέμπη: Εθνικό καθήκον η πλήρης αποκάλυψη της αλήθειας,https://www.protagon.gr/epikairotita/proedroi-dikigorikwn-syllogwn-ethniko-kathikon-i-pliris-apokalypsi-tis-alitheias-gia-ta-tebi-44343123601,2025-04-06,"Με ανακοίνωσή της, η ολομέλεια των Δικηγορικών Συλλόγων Ελλάδος ζητεί απόδοση δικαιοσύνης για την πολύνεκρη τραγωδία, καθώς...",
Τέμπη: Τα «σωστά» και τα «λάθος» θύματα,https://www.protagon.gr/apopseis/tebi-ta-swsta-kai-ta-lathos-thymata-44343123259,2025-04-05,"Πολλοί κατηγορούν ανοιχτά τους συγγενείς ότι «διαφωνώντας μεταξύ τους, απαξιώνουν τον αγώνα τους». Δεν υπάρχει μεγαλύτερη στρέβλωση απ' αυτό. Τον αγώνα...",
Παπαδημητρίου για Τέμπη: «Ο ΕΟΔΑΣΑΑΜ ουδέποτε συνεβλήθη με οποιονδήποτε πραγματογνώμονα»,https://www.protagon.gr/epikairotita/papadimitriou-gia-tebi-o-eodasaam-oudepote-synevlithi-me-opoiondipote-pragmatognwmona-44343123219,2025-04-05,"Η παραδοχή Λακαφώση ότι δεν έχει εγγραφεί ποτέ στο Τεχνικό Επιμελητήριο Ελλάδος (ΤΕΕ), ούτε έκανε έναρξη επαγγέλματος...",
Τέμπη: Σύγχυση με το επάγγελμα του πραγματογνώμονα Λακαφώση,https://www.protagon.gr/epikairotita/tebi-sygxysi-me-to-epaggelma-tou-pragmatognwmona-lakafwsi-44343123227,2025-04-04,"Ο τεχνικός σύμβουλος οικογενειών θυμάτων του δυστυχήματος των Τεμπών παραδέχτηκε ότι δεν έχει εγγραφεί ποτέ στο Τεχνικό Επιμελητήριο Ελλάδος, ούτε έκανε...",
Φλωρίδης: Περιμένω απαντήσεις από τον Βερβεσό για την έκθεση που απορρίπτει συνωμοσίες για τα Τέμπη,https://www.protagon.gr/epikairotita/flwridis-perimenw-apantiseis-apo-ton-verveso-gia-tin-ekthesi-pou-aporriptei-synwmosies-gia-ta-tebi-44343121678,2025-04-03,Για ζήτημα «ηθικής τάξεως» έκανε λόγο ο υπουργός Δικαιοσύνης αναφορικά με τις καταγγελίες ότι ο πρόεδρος του...,
Τέμπη: Μετά την κατακραυγή των συγγενών ο Σπίρτζης ζήτησε να κριθεί σε Προανακριτκή για την 717!,https://www.protagon.gr/epikairotita/tebi-meta-tin-katakravgi-twn-syggenwn-o-spirtzis-zitise-na-krithei-se-proanakritki-gia-tin-717-44343120562,2025-04-01,Εκ του ασφαλούς το αίτημα του πρώην υπουργού της κυβέρνησης ΣΥΡΙΖΑΝΕΛ. Γιατί δεν μπορεί να ικανοποιηθεί. Τι...,
